gene-symbol	gene-score	syndromic
FAN1	4	0
FAT1	4	0
FBN1	3	0
FBXO33	4	0
FBXO40	4	0
FCRL6	4	0
FEZF2	4	0
FGA	4	0
FGD1	5	0
FGFBP3	5	0
FHIT	4	0
FLT1	5	0
FMR1	NA	1
FOLH1	5	0
FOXG1	NA	1
FOXP1	2	1
FOXP2	3	0
FRK	4	0
ELOVL2	4	0
EXOC3	4	0
EXOC5	4	0
EXOC6	4	0
FAM135B	NA	0
FRMPD4	NA	1
GABBR2	4	1
GABRA1	5	0
GABRA3	NA	1
GABRA4	4	0
GABRA5	5	0
GABRB1	5	0
GABRB3	2	0
GABRQ	5	0
GAD1	5	0
GADD45B	5	0
GALNT13	4	0
GALNT14	4	0
GAN	5	0
GAP43	5	0
GAS2	4	0
GATM	NA	1
GDA	4	0
GGNBP2	3	0
GIGYF1	3	0
FBXO11	4	1
FBXO15	NA	0
FER	NA	0
FGFR2	5	0
GABRG3	3	0
GALNT8	3	0
GIGYF2	2	0
GLIS1	4	0
GLO1	4	0
GLRA2	4	0
GNA14	6	0
GNAS	4	0
GNB1L	4	0
GPC4	3	0
GPC6	4	0
GPHN	3	0
GPR139	5	0
GPR37	4	0
GPR85	4	0
GPX1	4	0
GRIA1	2	0
GRID1	3	0
GRID2	4	0
GRIK2	3	0
GRIK4	4	0
GRIK5	3	0
GRIN1	3	0
GRIN2A	4	0
GRIN2B	1	0
GRIP1	2	0
GRM4	5	0
GRM5	4	0
GRM7	4	0
GRM8	6	0
GRPR	5	0
GSK3B	5	0
GSTM1	4	0
GTF2I	4	0
GUCY1A2	4	0
H2AFZ	5	0
HCN1	NA	1
HDAC3	5	0
HDAC4	NA	1
HDC	5	0
HDLBP	4	0
HECTD4	3	0
HECW2	3	0
HEPACAM	NA	1
HERC2	NA	1
HIVEP3	3	0
HLA-A	4	0
HLA-B	4	0
HLA-G	4	0
HMGN1	3	0
HNRNPH2	4	0
HNRNPU	4	1
HOMER1	4	0
HOXA1	NA	1
HOXB1	5	0
HRAS	4	0
HS3ST5	4	0
HSD11B1	4	0
HTR1B	4	0
HTR2A	5	0
HTR3A	4	0
HTR3C	4	0
GPD2	4	0
GRID2IP	4	0
GRIK3	4	0
GRM1	NA	0
GSN	6	0
HCFC1	NA	0
HDAC6	5	0
HDAC8	NA	1
HLA-DRB1	4	0
HTR7	6	0
HUWE1		1
HYDIN	4	0
ICA1	3	0
IFNG	5	0
IL17RA	5	0
IL1R2	4	0
IL1RAPL1	4	0
IL1RAPL2	4	0
ILF2	2	0
IMMP2L	4	0
INPP1	4	0
INTS6	2	0
IQGAP3	4	0
IQSEC2	4	1
IRF2BPL	2	1
ITGB3	3	0
ITGB7	5	0
ITPR1	4	0
JAKMIP1	5	0
JARID2	3	0
JMJD1C	4	0
KANK1	4	0
KAT2B	2	0
KAT6A	3	1
KATNAL1	4	0
KATNAL2	1	0
KCNB1	NA	1
KCND2	4	0
KCND3	4	0
KCNJ10	3	0
KCNJ2	5	0
KCNK7	4	0
KCNMA1	4	0
KCNQ2	3	0
KCNQ3	3	0
KCNT1	5	0
KCTD13	4	0
KDM4B	4	0
KDM5B	2	0
KDM5C	3	0
KDM6A	2	0
KDM6B	3	0
KHDRBS2	4	0
KIAA1586	3	0
KIF13B	4	0
KIF5C	4	1
KIRREL3	3	0
IFNGR1	5	0
IL16	NA	0
IL17A	5	0
IL6	5	0
ITGA4	5	0
KCNJ12	NA	0
KCNJ15	4	0
KDM4C	3	0
KHDRBS3	5	0
KIF14	3	0
KIF21B	5	0
KIT	5	0
KLC2	5	0
KLF16	4	0
KMT2A	1	1
KMT2C	2	1
KMT2E	3	0
KPTN	NA	1
KRR1	4	0
KRT26	4	0
LAMA1	4	0
LAMB1	3	0
LAMC3	5	0
KMT5B	1	0
KMO	5	0
LAT	5	0
LEO1	2	0
LEP	4	0
LILRB2	4	0
LIN7B	4	0
LMX1B	4	0
LMX1B	3	0
LPL	NA	0
LRBA	4	0
LRFN2	4	0
LRFN5	4	0
LRP2	4	0
LRP2BP	NA	0
LZTR1	3	0
MACROD2	3	0
MAGEL2	2	1
MAOA	4	0
MAP2	5	0
MAPK1	5	0
MAPK3	4	0
LNPK	NA	1
MARK1	4	0
MBD1	4	0
MBD3	4	0
MBD4	4	0
MBD5	3	1
MBD6	4	0
MBOAT7	2	1
MCM4	4	0
MCM6	4	0
MCPH1	4	0
MDGA2	4	0
MECP2	2	1
MED12	6	0
MED13	2	1
MED13L	2	1
MEF2C	4	1
MEGF10	4	0
MEGF11	4	0
MET	2	0
MFRP	3	0
MIB1	4	0
LRPPRC	5	0
LRRC1	4	0
LRRC4	4	0
LRRC7	NA	0
LZTS2	4	0
MAOB	4	0
MAPK12	NA	0
MCC	5	0
MEIS2	NA	1
MKL2	4	0
MOCOS	5	0
MPP6	4	0
MSANTD2	4	0
MSR1	4	0
MTF1	4	0
MTHFR	4	0
MTOR	3	1
MTR	5	0
MUC12	4	0
MUC4	4	0
MYH10	3	0
MYH4	4	0
MYO16	4	0
MYO1A	5	0
MIR137	3	0
MAGED1	5	0
MAL	5	0
MAPK8IP2	5	0
MC4R	5	0
MNT	4	0
MSN	5	0
MSNP1AS	2	0
MTX2	5	0
MYO1E	4	0
MYO5A	3	0
MYO5C	4	0
MYO9B	3	0
MYOZ1	5	0
MYT1L	1	0
NAA15	1	1
NAALADL2	4	0
NACC1	4	1
NAV2	3	0
NBEA	4	1
NCKAP1	2	0
NCKAP5	4	0
NCKAP5L	5	0
NCOR1	3	0
NEFL	5	0
NEO1	4	0
NF1	NA	1
NFIA	4	0
NFIX	NA	1
NINL	3	0
NIPA1	4	0
NIPA2	4	0
NIPBL	NA	1
NLGN1	3	0
NLGN2	4	0
NLGN3	2	0
NEXMIF	3	0
NLGN4X	3	0
NOS1AP	5	0
NOS2	5	0
NR1D1	4	0
NR2F1	4	1
NR3C2	3	0
NR4A2	4	0
NRCAM	4	0
NRP2	4	0
NRXN1	2	0
NRXN2	4	0
NRXN3	3	0
NSD1	NA	1
NTNG1	4	1
NTRK1	4	0
NTRK2	NA	1
NTRK3	4	0
NUAK1	3	0
NUP133	4	0
NXPH1	4	0
OCRL	NA	1
ODF3L2	4	0
OFD1	4	0
OPHN1	3	0
OR1C1	4	0
NSMCE3	4	0
NDUFA5	4	0
NEGR1	5	0
NELL1	NA	0
NFIB	4	1
NLGN4Y	4	0
NOS1	NA	0
NOTCH2NL	4	0
NPAS2	4	0
NR1H2	5	0
NRG1	5	0
NUDCD2	3	0
NXF5	NA	0
OGT	5	0
OPRM1	5	0
OR2M4	4	0
OR2T10	4	0
OR52M1	3	0
OTUD7A	3	0
OTX1	4	0
OXT	4	0
OXTR	3	0
P2RX4	5	0
P2RX5	3	0
P4HA2	3	0
PACS1	NA	1
PACS2	NA	1
PAH	3	0
PARD3B	3	0
PAX5	3	0
PAX6	NA	1
PCCA	NA	1
PCCB	NA	1
PCDH10	4	0
PCDH11X	4	0
PCDH15	4	0
PCDH19	NA	1
PCDH8	6	0
PCDH9	4	0
PCDHA1	4	0
PCDHA10	4	0
PCDHA11	4	0
PCDHA12	4	0
PCDHA13	4	0
PCDHA2	4	0
PCDHA3	4	0
PCDHA4	4	0
